# %ECSV 1.0
# ---
# datatype:
# - {name: PSRJ, datatype: string}
# - {name: RAJ, datatype: string}
# - {name: DECJ, datatype: string}
# - {name: POSEPOCH, datatype: float32}
# - {name: PMRA, datatype: float32}
# - {name: PMDEC, datatype: float32}
# - {name: DM, datatype: float32}
# - {name: F0, datatype: float32}
# - {name: PEPOCH, datatype: float32}
# - {name: F1, datatype: float32}
# - {name: PX, datatype: float32}
# - {name: S1400, datatype: float32}
# - {name: DIST_DM, datatype: float32}
# - {name: DIST_DM1, datatype: float32}
# - {name: TYPE, datatype: string}
# - {name: ASSOC, datatype: string}
# - {name: SURVEY, datatype: string}
# - {name: P0, datatype: float32}
# - {name: P1, datatype: float32}
# - {name: RM, datatype: float32}
# - {name: S400, datatype: float32}
# - {name: S150, datatype: float32}
# - {name: W50, datatype: float32}
# - {name: W10, datatype: float32}
# - {name: SPINDX, datatype: float32}
# - {name: FRACL, datatype: float32}
# - {name: FRACV, datatype: float32}
# - {name: FRACAV, datatype: float32}
# - {name: MAGINC, datatype: float32}
# - {name: IMPANG, datatype: float32}
# - {name: PASWING, datatype: float32}
# - {name: F2, datatype: float32}
# - {name: F3, datatype: float32}
# - {name: NGLT, datatype: float32}
# - {name: DIST_AMX, datatype: float32}
# - {name: DIST_AMN, datatype: float32}
# - {name: S300, datatype: float32}
# - {name: DMEPOCH, datatype: float32}
# - {name: EPHEM, datatype: string}
# - {name: CLK, datatype: string}
# - {name: PSRB, datatype: string}
# - {name: S50, datatype: float32}
# - {name: S600, datatype: float32}
# - {name: TAU_SC, datatype: float32}
# - {name: ELONG, datatype: float32}
# - {name: ELAT, datatype: float32}
# - {name: PMELONG, datatype: float32}
# - {name: PMELAT, datatype: float32}
# - {name: BINARY, datatype: string}
# - {name: A1, datatype: float32}
# - {name: TASC, datatype: float32}
# - {name: EPS1, datatype: float32}
# - {name: EPS2, datatype: float32}
# - {name: FB0, datatype: float32}
# - {name: FB1, datatype: float32}
# - {name: FB2, datatype: float32}
# - {name: UNITS, datatype: string}
# - {name: BINCOMP, datatype: string}
# - {name: S3000, datatype: float32}
# - {name: S4000, datatype: float32}
# - {name: S800, datatype: float32}
# - {name: S2000, datatype: float32}
# - {name: S900, datatype: float32}
# - {name: S1600, datatype: float32}
# - {name: DIST_A, datatype: float32}
# - {name: ECC, datatype: float32}
# - {name: PB, datatype: float32}
# - {name: PBDOT, datatype: float32}
# - {name: OM, datatype: float32}
# - {name: OMDOT, datatype: float32}
# - {name: T0, datatype: float32}
# - {name: M2, datatype: float32}
# - {name: S350, datatype: float32}
# - {name: DM1, datatype: float32}
# - {name: DM2, datatype: float32}
# - {name: S100, datatype: float32}
# - {name: S820, datatype: float32}
# - {name: S200, datatype: float32}
# - {name: S80, datatype: float32}
# - {name: S1284, datatype: float32}
# - {name: P2, datatype: float32}
# - {name: A1DOT, datatype: float32}
# - {name: S60, datatype: float32}
# - {name: S5000, datatype: float32}
# - {name: S40, datatype: float32}
# - {name: A1_2, datatype: float32}
# - {name: PB_2, datatype: float32}
# - {name: TASC_2, datatype: float32}
# - {name: EPS1_2, datatype: float32}
# - {name: EPS2_2, datatype: float32}
# - {name: SINI, datatype: float32}
# - {name: M2_2, datatype: float32}
# - {name: MASS_Q, datatype: float32}
# - {name: S2250, datatype: float32}
# - {name: S8600, datatype: float32}
# - {name: S700, datatype: float32}
# - {name: KOM, datatype: float32}
# - {name: KIN, datatype: float32}
# - {name: STIG, datatype: float32}
# - {name: H3, datatype: float32}
# - {name: H4, datatype: float32}
# - {name: GAMMA, datatype: float32}
# - {name: S1500, datatype: float32}
# - {name: S100G, datatype: float32}
# - {name: S150G, datatype: float32}
# - {name: OM_ASC, datatype: float32}
# - {name: DM3, datatype: float32}
# - {name: A1_3, datatype: float32}
# - {name: ECC_2, datatype: float32}
# - {name: ECC_3, datatype: float32}
# - {name: PB_3, datatype: float32}
# - {name: OM_2, datatype: float32}
# - {name: OM_3, datatype: float32}
# - {name: T0_2, datatype: float32}
# - {name: T0_3, datatype: float32}
# - {name: SINI_2, datatype: float32}
# - {name: SINI_3, datatype: float32}
# - {name: M2_3, datatype: float32}
# - {name: A12DOT, datatype: float32}
# - {name: OM2DOT, datatype: float32}
# - {name: S430, datatype: float32}
# - {name: S1380, datatype: float32}
# - {name: S35, datatype: float32}
# - {name: S64, datatype: float32}
# - {name: S79, datatype: float32}
# - {name: S6000, datatype: float32}
# - {name: FB3, datatype: float32}
# - {name: FB4, datatype: float32}
# - {name: 'WARNING:', datatype: string}
# - {name: FB5, datatype: float32}
# - {name: FB6, datatype: float32}
# - {name: F4, datatype: float32}
# - {name: F5, datatype: float32}
# - {name: S8000, datatype: float32}
# - {name: S9000, datatype: float32}
# - {name: S1283, datatype: float32}
# - {name: PBDOT_2, datatype: float32}
# - {name: PBDOT_3, datatype: float32}
# - {name: DM4, datatype: float32}
# - {name: DM5, datatype: float32}
# - {name: ECCDOT, datatype: float32}
# - {name: DTHETA, datatype: float32}
# - {name: FB7, datatype: float32}
# - {name: FB8, datatype: float32}
# schema: astropy-2.0
PSRJ RAJ DECJ POSEPOCH PMRA PMDEC DM F0 PEPOCH F1 PX S1400 DIST_DM DIST_DM1 TYPE ASSOC SURVEY P0 P1 RM S400 S150 W50 W10 SPINDX FRACL FRACV FRACAV MAGINC IMPANG PASWING F2 F3 NGLT DIST_AMX DIST_AMN S300 DMEPOCH EPHEM CLK PSRB S50 S600 TAU_SC ELONG ELAT PMELONG PMELAT BINARY A1 TASC EPS1 EPS2 FB0 FB1 FB2 UNITS BINCOMP S3000 S4000 S800 S2000 S900 S1600 DIST_A ECC PB PBDOT OM OMDOT T0 M2 S350 DM1 DM2 S100 S820 S200 S80 S1284 P2 A1DOT S60 S5000 S40 A1_2 PB_2 TASC_2 EPS1_2 EPS2_2 SINI M2_2 MASS_Q S2250 S8600 S700 KOM KIN STIG H3 H4 GAMMA S1500 S100G S150G OM_ASC DM3 A1_3 ECC_2 ECC_3 PB_3 OM_2 OM_3 T0_2 T0_3 SINI_2 SINI_3 M2_3 A12DOT OM2DOT S430 S1380 S35 S64 S79 S6000 FB3 FB4 WARNING: FB5 FB6 F4 F5 S8000 S9000 S1283 PBDOT_2 PBDOT_3 DM4 DM5 ECCDOT DTHETA FB7 FB8
J1708-3827 17:08:16.5 -38:27:36 "" "" "" 788.0 "" 51401.0 "" "" 0.42 20.597 11.046 "" "" pksmb,htru_pks 1.225782 8.6e-15 "" "" "" 40.0 "" -2.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1708-4008 17:08:46.87 -40:08:52.44 "" "" "" "" 0.090857364 55567.0 -1.618e-13 "" "" "" "" AXP,NRAD XRS:RXSJ170849.0-400 misc "" "" "" "" "" "" "" "" "" "" "" "" "" "" -1e-22 "" 3.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.8 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1708-4522 17:08:12.92 -45:22:51 "" "" "" 454.0 0.7705129 52158.0 -1.551e-15 "" 0.22 23.09 10.182 "" "" pksmb,htru_pks "" "" "" "" "" 17.0 37.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1708-4843 17:08:33.9626 -48:43:31.8000 "" "" "" 28.7 "" "" "" "" "" 0.841 0.87 "" "" mmgps-l 0.016657267 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ? "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1708-52 17:08 -52:00 "" "" "" 102.6 "" 56657.0 "" "" "" 3.295 2.194 "" "" ghrss 0.44962 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1708-7539 17:08:02.5 -75:39:23 "" "" "" 37.0 "" 43565.1 "" "" 0.747 1.322 1.222 "" "" mol2,pkssw 1.191024 1.88e-15 40.0 2.5 "" 25.0 45.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" B1701-75 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709+2313 17:09:05.792 23:13:27.85 "" -3.2 -9.7 25.3 "" 51145.0 "" "" 0.19 2.173 1.404 "" "" ar4,fast_gpps 0.004631196 3.63e-21 39.1 2.52 3.4 27.8 224.2 -3.1 0.36 0.06 0.08 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" BT 15.288544 "" "" "" "" "" "" "" He[lwf+04] "" "" "" "" "" "" "" 1.87e-05 22.711893 "" 24.3 "" 51196.24 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-0333 17:09:32.79 -03:33:20 "" "" "" 35.7 283.8 "" "" "" "" 0.213 1.398 "" "" meerkat_trapum "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-1640 17:09:26.4413 -16:40:57.73 46993.0 -2.0 47.0 24.891 1.531267 46993.0 -1.47952e-14 "" 15.0 0.562 0.833 "" "" mol1,gb2,gb3,htru_pk "" "" 1.5 47.0 "" 8.9 19.0 -2.0 "" "" "" "" "" "" 3.83e-25 "" "" "" "" "" 56843.0 "" "" B1706-16 317.0 20.0 8e-08 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 17.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 271.0 700.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-3626 17:09:45.15 -36:26:03.6 "" "" "" 393.6 "" 51400.0 "" "" 0.58 16.084 5.945 "" "" pksmb,htru_pks 0.44785705 2.2675e-15 -226.0 "" "" 18.0 33.0 -0.8 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-3841 17:09:15.99 -38:41:17 "" "" "" 356.0 1.7036177 51117.0 -2.28e-14 "" 0.31 4.3 4.56 "" "" pksmb,htru_pks "" "" "" "" "" 18.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-43 17:09:47 -43:54:43 "" "" "" 228.0 "" "" "" "" "" 4.596 4.399 RRAT "" htru_pks "" "" "" "" "" 3.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-4342 17:09:30.9 -43:42:14 "" "" "" 281.0 "" 51457.0 "" "" 0.14 6.449 5.036 "" "" pksmb,htru_pks 1.7358983 8e-16 "" "" "" 50.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-4401 17:09:41.39 -44:01:11.2 "" "" "" 225.8 "" 55000.0 "" "" 0.8 4.597 4.395 "" "" htru_pks 0.8652353 7.37e-15 -122.0 "" "" 9.3 20.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1709-4429 17:09:42.728 -44:29:08.24 50042.0 13.0 -1.0 75.593 9.759978 50042.0 -8.857444e-12 "" 12.1 2.273 2.302 HE[ghd02],HE[aaa+10m GRS:4FGL_J1709.7-442 pks1,FermiBlind,htru "" "" 0.5 25.0 "" 6.0 13.0 -0.62 "" "" "" "" "" "" 1.731e-22 "" 7.0 3.1 2.0 "" "" "" "" B1706-44 "" 13.3 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.0 "" 23.0 "" "" "" 2.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1710+4923 "" "" "" -50.4 -44.7 7.0 310.537 56850.0 -1.7561e-15 "" "" 0.5 0.652 "" "" gbncc,fast_gpps "" "" 6.9 "" "" 22.2 274.8 "" 0.17 -0.006 0.1 "" "" "" "" "" "" "" "" "" "" "" "" "" 4.0 "" "" 243.41777 71.67561 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1710-2616 17:10:04.9 -26:16:35 "" "" "" 110.0 "" 55070.0 "" "" 0.9 5.2 2.566 "" "" htru_pks,gbncc 0.954158 2e-17 -9.0 "" "" 87.5 96.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1710-37 17:10:30 -37:30 "" "" "" 346.0 "" 56657.0 "" "" 0.1 6.085 4.676 "" "" htru_pks 0.7926592 "" "" "" "" 61.4 105.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1710-4148 17:10:23.75 -41:48:19 "" "" "" 461.0 "" 51335.0 "" "" 0.31 7.2 6.147 "" "" pksmb,htru_pks 0.28656122 1.02e-16 "" "" "" 13.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1711-1509 "" "" 49907.0 "" "" 59.88 1.1510073 49907.0 -1.46056e-15 "" 0.7 1.081 1.728 "" "" gb2,htru_pks,pks70,p "" "" 8.0 5.9 "" 11.0 20.0 -1.7 "" "" "" "" "" "" 9.9e-27 "" "" "" "" "" "" "" "" B1709-15 "" 2.8 "" 258.29416 7.79111 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1711-3826 17:11:44.45 -38:26:14 "" "" "" 376.0 "" 51710.0 "" "" 0.16 4.146 4.653 "" "" pksmb,htru_pks 0.46536463 7.413e-15 "" "" "" 24.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1711-4322 17:11:10.561 -43:22:53.1 "" "" "" 191.5 9.744852 52433.0 -2.532e-15 "" 0.26 3.986 3.83 "" "" pksmb,htru_pks "" "" "" "" "" 7.8 16.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ELL1 139.6241 49456.05 -0.002175 0.000956 "" "" "" "" He[lfl+06] "" "" "" "" "" "" "" "" 922.4708 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1711-5350 17:11:53.13 -53:50:18.3 57600.0 "" "" 106.1 1.1120591 57600.0 -1.92133e-14 "" 0.836 4.498 2.426 "" "" mol2,htru_pks,pks70, "" "" -5.0 9.0 "" 12.0 23.0 -2.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" B1707-53 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" 0.19 "" 3.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1712-2715 17:12:11.71 -27:15:53 "" "" "" 91.78 "" 51500.0 "" "" "" 3.118 2.046 "" "" pkssw,gbncc,htru_pks 0.25535965 1.2793e-15 "" "" "" 33.0 64.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1712-391 17:12:35 -39:43 "" "" "" 525.0 "" 51465.0 "" "" "" 4.355 5.722 "" "" misc 0.778149 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1712-392 17:12:35 -39:43 "" "" "" 713.0 "" 51465.0 "" "" "" 4.843 7.801 "" "" misc 0.0925277 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1713+0747 17:13:49.5331917 +07:47:37.49258 55636.0 4.9215 -3.92 15.9918 218.81184 55000.0 -4.08385e-16 -3.92 8.3 0.919 0.894 HE[egc+13] GRS:4FGL_J1713.8+074 ar4,FermiBlind,pkssw "" "" 9.8 6.8 11.0 22.7 87.0 -2.08 "" "" "" "" "" "" "" "" "" "" "" "" 55000.0 DE436 TT(BIPM2018) "" "" "" 1.3e-08 256.6687 30.70036 5.2651 -3.442 T2 32.34242 "" "" "" "" "" "" TCB He[sns+05] 2.6 "" 8.0 6.0 "" "" "" 7.49405e-05 67.825134 2.6e-13 176.2 0.00023 48741.973 0.296 "" 1e-06 -6e-06 250.0 "" "" "" "" "" "" "" 1.4 "" "" "" "" "" "" 0.953 "" "" 3.6 0.33 10.1 88.0 71.3 "" "" "" "" "" "" "" 91.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1713+7810 17:13:27.07 +78:10:33.99 "" "" "" 36.977 "" 57773.0 "" "" "" 4.58 2.123 "" "" lotaas 0.43252593 1.14e-16 "" "" 0.9 16.0 24.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE405 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TCB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1713-3844 17:13:02.3 -38:44:29 "" "" "" 544.0 "" 51294.0 "" "" 0.26 4.426 5.874 "" "" pksmb,htru_pks 1.600114 1.7741e-13 "" "" "" 17.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1713-3949 17:13:28 -39:49 "" "" "" 342.0 "" 51465.0 "" "" 0.35 3.885 4.362 "" "" misc,htru_pks,pksmb 0.3924514 "" "" "" "" 12.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
