#   1                     2                  3          4         5      6    7         8      9    10      11     12      13     14      15     16      17      18      19     20      21     22      23     24      25     26      27
# SOURCE              CEPHEID_ID             L          B        DIST  dDIST AGE      PERIOD  MODE  I1     dI1     I2     dI2     I3     dI3     I4     dI4      W1     dW1     W2     dW2     W3     dW3     W4     dW4    A_Ks   SOURCE"
#   -                     -                (deg)      (deg)      (pc)  (pc) (Myr)      (d)     -   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)    (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)    -
OGLE-IV            OGLE-GD-CEP-1264      36.11561   -0.71584     2556    59   86    6.8430232 F    7.305  0.059   7.281  0.059   7.191  0.053   7.047  0.049    7.374  0.075   7.287  0.066   7.025  0.060   6.048  0.222   0.963  -      
OGLE-IV            OGLE-GD-CEP-1260      36.37053    0.11548     5053   147   55   14.5478160 F    8.072  0.086   8.099  0.088   7.856  0.085   7.764  0.084    7.936  0.087   7.769  0.094   8.079  0.120   0.000  0.000   1.492  -      
Kabath+2009        BEST-lrcby_00668      37.02746    4.00350       -1     0  118    2.2762064 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
CoRoT              CoRoT211626074        37.03844   -0.82440     2351    45   98    5.4684767 F    7.289  0.042   7.287  0.053   7.202  0.044   7.188  0.042    7.265  0.087   7.231  0.060   7.411  0.078   0.000  0.000   0.628  -      
ATLAS              J282.2041+05.2860     37.34256    2.98902       -1     0   52   19.1605275 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.694  0.234   4.566  0.260   2.314  0.063   1.105  0.077   0.000  -      
ASAS-SN            J181932.39+091737.5   37.68717   11.27332     8136   326  222    1.1154685 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.914  0.078  11.917  0.078   0.000  0.000   0.000  0.000   0.104  -      
GCVS               V1837_Aql             38.03661   -3.67242     2214    63  174    1.2577188 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.485  0.035   8.468  0.051   8.541  0.073   0.000  0.000   0.152  -      
ATLAS              J285.7178+04.5198     38.25692   -0.47609     2639   130   32   40.4545473 F    0.000  0.000   0.000  0.000   4.828  0.078   4.776  0.078    0.000  0.000   0.000  0.000   4.568  0.058   4.376  0.067   0.701  -      
GCVS               FN____Aql             38.53883   -3.11488     1419    44   74    9.4815651 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.171  0.076   5.001  0.081   5.178  0.034   4.952  0.069   0.128  -      
GCVS               V1344_Aql             39.15496   -2.56964      882    30   85    7.4767255 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    4.443  0.088   4.184  0.108   4.439  0.025   4.368  0.041   0.082  -      
GCVS               V480__Aql             39.18432    3.43218     2857   100   49   18.9989744 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.858  0.124   5.698  0.209   5.845  0.049   5.763  0.094   0.483  -      
ATLAS              J282.3561+08.8844     40.62713    4.48211    19122  1259  230    2.2159933 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.870  0.185  12.905  0.149   0.000  0.000   0.000  0.000   0.282  -      
GCVS               eta___Aql             40.93433  -13.07264      272    11   89    7.1768044 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   0.000  0.000   1.893  0.079   1.795  0.071   0.014  -      
GCVS               V572_Aql              41.90158  -15.42749     6530   205   90    3.7674535 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.208  0.043   9.214  0.050   9.151  0.082   0.000  0.000   0.067  -      
ATLAS              J283.8051+10.4159     42.64386    3.89869    21765  1719  278    1.9817027 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   13.230  0.147  13.408  0.176   0.000  0.000   0.000  0.000   0.217  -      
ASAS               J191719+0757.7        42.96845   -2.07147      946    59   91    4.4699118 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    4.594  0.401   4.664  0.120   4.951  0.021   4.442  0.050   0.117  -      
GCVS               V800__Aql             43.14483    3.78856    18504   975   55   20.0247666 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.742  0.069   9.765  0.081   9.489  0.132   0.000  0.000   0.239  -      
GCVS               BB____Her             43.33980    6.80092     3582   118   81    7.5076952 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.448  0.064   7.499  0.053   7.413  0.041   0.000  0.000   0.108  -      
GCVS               V600__Aql             43.88954   -2.62736     1761    52   86    7.2388599 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    6.065  0.073   5.907  0.119   6.031  0.035   5.964  0.115   0.228  -      
GCVS               V1183_Aql             44.14704    4.45270       -1     0   92    3.2881040 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ASAS-SN            J190001.20+114228.9   44.33262    3.43428       -1     0   58   15.7755878 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.348  0.275   8.526  0.303   6.252  0.093   5.228  0.082   0.000  -      
GCVS               FM____Aql             44.34314    0.88885      929    24   96    6.1142663 F    0.000  0.000   0.000  0.000   4.827  0.061   4.775  0.057    4.812  0.086   4.582  0.121   4.921  0.059   4.778  0.089   0.147  -      
ATLAS              J285.0709+11.8396     44.47955    3.43659    23992  1239  174    4.1440855 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.441  0.099  12.496  0.114   0.000  0.000   0.000  0.000   0.205  -      
ASAS-SN            J193056.77+080447.0   44.66198   -4.99446    27216  1357  143    4.2777724 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.096  0.086  12.168  0.103   0.000  0.000   0.000  0.000   0.106  -      
GCVS               V1795_Aql             45.49257    1.41567     7474   296   46   20.8275667 F    7.960  0.064   7.925  0.066   0.000  0.000   0.000  0.000    7.655  0.057   7.719  0.064   7.624  0.050   0.000  0.000   0.448  -      
GCVS               V916__Aql             46.18797    1.64253     2932    68   60   13.4433646 F    6.314  0.052   6.296  0.050   0.000  0.000   0.000  0.000    5.323  0.744   6.161  0.075   6.229  0.038   6.206  0.140   0.242  -      
ASAS-SN            J192832.20+104812.6   46.78162   -3.17723     5717   186  127    3.3189706 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.743  0.053   9.724  0.051   9.710  0.133   0.000  0.000   0.324  -      
ATLAS              J288.9704+12.6190     46.92521    0.41042     4197   100   88    6.5307747 F    8.411  0.068   8.327  0.069   8.242  0.064   8.229  0.061    8.247  0.081   8.170  0.102   8.797  0.143   0.000  0.000   0.695  -      
GCVS               V1803_Aql             47.56374   -0.42005     1478    40   78    8.6279483 F    0.000  0.000   0.000  0.000   5.380  0.044   5.347  0.042    5.367  0.160   5.290  0.073   5.517  0.031   5.447  0.088   0.274  -      
GCVS               V1804_Aql             47.61815   -0.52568     3265   140   50   18.2360555 F    0.000  0.000   0.000  0.000   6.475  0.066   6.423  0.061    6.164  0.092   6.090  0.090   6.166  0.052   6.051  0.125   0.677  -      
ASAS               J193206+1132.9        47.85514   -3.58968       -1     0   57    6.6980179 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ATLAS              J287.1801+14.6129     47.88927    2.87506    18292   804  199    2.8189571 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.482  0.087  12.448  0.113   0.000  0.000   0.000  0.000   0.295  -      
GCVS               EV____Aql             47.95493    3.43933    11957   472   34   38.7039143 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.863  0.100   7.857  0.109   7.750  0.049   0.000  0.000   0.222  -      
ASAS               J192310+1351.4        48.85002   -0.57609     1630    38  113    2.9730089 1O   0.000  0.000   6.683  0.056   6.638  0.049   6.604  0.042    6.614  0.091   6.550  0.074   6.480  0.038   5.475  0.795   0.250  -      
ASAS-SN            J190559.09+160552.9   48.91087    4.14020     8464   312  133    3.2696324 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.552  0.061  10.545  0.049   0.000  0.000   0.000  0.000   0.232  -      
ATLAS              J293.0109+13.0435     49.16260   -2.86037    11858   518   63   13.6625964 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.300  0.125   9.305  0.116   9.358  0.142   0.000  0.000   0.337  -      
GCVS               FF____Aql             49.20500    6.36327      403    14  116    4.4709160 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   0.000  0.000   3.423  0.034   3.377  0.032   0.066  -      
ASAS-SN            J192052.46+153315.1   50.08585    0.71337     4145   101   68   10.6263748 F    7.566  0.071   7.607  0.069   7.469  0.060   7.403  0.057    7.425  0.099   7.400  0.078   7.375  0.069   0.000  0.000   0.501  -      
ATLAS              J290.2575+15.7989     50.31955    0.79525     3929    92   94    5.9485930 F    8.281  0.059   8.216  0.062   8.175  0.056   8.147  0.054    8.397  0.070   8.346  0.065   8.391  0.066   0.000  0.000   0.650  -      
GCVS               V733__Aql             50.49442   -9.27383     3740   113   92    6.1787826 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.787  0.068   7.819  0.068   7.797  0.037   0.000  0.000   0.072  -      
GCVS               V367__Sge             51.46412    1.71387     1458    38  109    4.8427320 F    6.386  0.072   6.308  0.042   0.000  0.000   0.000  0.000    5.616  0.474   5.990  0.115   6.271  0.053   6.084  0.115   0.441  -      
Shaw+2016          NSVS11230034          51.99509   -0.44076     2888    59   94    6.0495127 F    7.513  0.060   7.509  0.052   7.435  0.038   7.403  0.036    7.545  0.050   7.554  0.045   7.613  0.046   0.000  0.000   0.476  -      
ATLAS              J290.1907+18.1331     52.35100    1.94769     4154    89   68   10.4982920 F    7.578  0.051   7.614  0.050   0.000  0.000   0.000  0.000    7.583  0.056   7.557  0.078   7.576  0.041   0.000  0.000   0.632  -      
ATLAS              J292.3844+18.7263     53.86014    0.39626     5741   141   50   18.7773751 F    7.582  0.073   7.499  0.082   7.435  0.072   7.354  0.074    7.496  0.109   7.512  0.092   7.249  0.074   5.103  0.189   0.732  -      
ATLAS              J292.9845+18.5534     53.98181   -0.18545     4372   100  107    4.7356629 F    8.860  0.064   8.814  0.062   8.709  0.053   8.715  0.049    8.695  0.068   8.667  0.074   9.139  0.117   0.000  0.000   0.580  -      
GCVS               V377__Sge             54.22391    0.62754     4193    77   93    6.1299416 F    8.302  0.050   8.245  0.055   8.206  0.052   8.181  0.047    8.244  0.073   8.200  0.096   8.281  0.062   0.000  0.000   0.417  -      
GCVS               V354__Sge             54.30608    0.17614     8692   217   98    5.8981000 F   10.243  0.080  10.198  0.082  10.093  0.080  10.168  0.075   10.236  0.086  10.209  0.096   0.000  0.000   0.000  0.000   1.046  -      
GCVS               V364__Sge             54.30832    0.19337     4127    83   91    6.3239591 F    8.217  0.038   8.268  0.044   8.155  0.035   8.177  0.036    8.138  0.037   8.106  0.041   7.942  0.041   0.000  0.000   0.462  -      
ASAS-SN            J192550.01+194925.2   54.40809    1.68783     3998    87  104    5.0352467 F    8.422  0.026   8.363  0.026   0.000  0.000   0.000  0.000    8.477  0.043   8.455  0.039   8.485  0.050   0.000  0.000   0.414  -      
GCVS               GX____Sge             54.51149    0.31166     4008   101   61   12.8963450 F    7.349  0.068   7.154  0.064   7.091  0.060   7.063  0.058    6.949  0.117   6.961  0.066   7.040  0.055   6.629  0.210   0.404  -      
GCVS               V355__Sge             54.76123   -0.78429     3468    78   37   32.0713678 F    0.000  0.000   0.000  0.000   5.545  0.042   5.462  0.040    5.546  0.086   5.486  0.074   5.456  0.032   5.326  0.066   0.459  -      
ASAS-SN            J192801.27+195659.6   54.76387    1.29547     5270   117  117    4.0442931 F    9.400  0.048   9.345  0.045   0.000  0.000   0.000  0.000    9.352  0.068   9.289  0.069   9.223  0.090   0.000  0.000   0.449  -      
GCVS               GY____Sge             54.92633   -0.55205     2701    70   28   51.8140890 F    0.000  0.000   0.000  0.000   4.210  0.048   4.158  0.048    4.333  0.099   3.961  0.180   4.259  0.041   4.184  0.051   0.400  -      
GCVS               KL____Aql             55.08792   -7.60534     3750   115   93    6.1078766 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.792  0.060   7.847  0.050   7.815  0.047   0.000  0.000   0.064  -      
GCVS               V471__Vul             55.13786   -0.17434     4012    78   95    5.9387808 F    8.225  0.041   8.254  0.052   8.204  0.042   8.175  0.033    8.143  0.083   8.140  0.068   8.290  0.066   0.000  0.000   0.477  -      
GCVS               S_____Sge             55.16824   -6.11920      657    31   81    8.3823351 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   3.374  0.089   3.648  0.052   3.574  0.043   0.048  -      
GCVS               DG____Sge             55.61824   -1.61400     3155    88  112    4.4372754 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.006  0.048   7.994  0.039   8.009  0.046   0.000  0.000   0.270  -      
ASAS-SN            J193320.52+201705.8   55.65775    0.36090     4715   110   57   14.5729938 F    7.538  0.060   7.677  0.064   7.515  0.050   7.466  0.051    7.375  0.139   7.414  0.050   7.493  0.053   0.000  0.000   0.898  -      
ATLAS              J294.1271+20.0413     55.80607   -0.40688     4052    77   91    6.3421430 F    8.099  0.050   8.109  0.054   8.012  0.045   8.000  0.036    8.094  0.051   8.074  0.054   8.110  0.059   0.000  0.000   0.337  -      
GCVS               U_____Vul             56.07432   -0.28923       -1     0   51    7.9906050 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ASAS-SN            J193606.44+215011.4   57.32756    0.55035     5111   103   46   22.0134758 F    7.053  0.050   7.063  0.058   6.954  0.042   6.932  0.037    6.863  0.178   6.996  0.060   6.969  0.032   6.692  0.195   0.721  -      
GCVS               V474__Vul             58.47526   -0.32950     3559    95   48   19.8754248 F    0.000  0.000   6.568  0.080   6.413  0.073   6.332  0.069    6.318  0.075   6.315  0.071   6.364  0.052   6.265  0.158   0.713  -      
ATLAS              J297.2669+21.8580     58.84003   -2.04917    10838   427  124    4.4783339 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.703  0.068  10.693  0.062   0.000  0.000   0.000  0.000   0.339  -      
GCVS               V411__Vul             59.20399   -0.24981     4730   110   98    5.6646000 F    9.052  0.078   8.982  0.087   8.825  0.075   8.872  0.077    9.084  0.067   8.883  0.063   8.895  0.190   0.000  0.000   1.146  -      
Turner+2009        NSV24859              59.33486   -0.27247     1572    76  103    5.4019000 F    0.000  0.000   0.000  0.000   6.341  0.081   6.325  0.074    6.146  0.163   5.263  0.178   5.700  0.129   4.976  0.104   0.470  -      
GCVS               BR____Vul             59.44185   -1.03350     2065    50  105    5.1969917 F    0.000  0.000   6.856  0.070   6.807  0.064   6.748  0.060    6.915  0.104   6.888  0.085   6.872  0.070   6.614  0.198   0.233  -      
GCVS               V410__Vul             59.49323   -0.04950     3775    86   82    7.8888000 F    7.969  0.080   7.901  0.083   7.800  0.077   7.861  0.077    8.021  0.077   7.901  0.082   8.394  0.088   0.000  0.000   0.951  -      
ASAS-SN            J194709.17+230600.7   59.68914   -1.04030     4279    94   92    6.3320030 F    8.315  0.055   8.339  0.076   8.190  0.053   8.156  0.059    8.365  0.059   8.335  0.086   8.376  0.088   0.000  0.000   0.524  -      
ATLAS              J296.7150+23.2350     59.77195   -0.91431     5822   210   60   13.7022227 F    8.066  0.071   8.106  0.074   7.913  0.072   7.908  0.067    7.743  0.091   7.794  0.112   7.686  0.055   0.000  0.000   0.602  -      
ASAS-SN            J193902.85+242306.2   59.88120    1.20781     4957   109  104    5.1707853 F    8.904  0.052   8.859  0.051   0.000  0.000   0.000  0.000    8.804  0.070   8.782  0.051   8.832  0.091   0.000  0.000   0.398  -      
GCVS               V412__Vul             60.46498   -0.18117     6798   179   96    4.0758000 1O   9.598  0.075   9.576  0.084   9.398  0.076   9.432  0.078    9.437  0.097   9.362  0.090   9.038  0.095   0.000  0.000   0.687  -      
GCVS               V413__Vul             60.48683   -0.32130     5784   140   98    3.8400595 1O   9.230  0.035   9.263  0.055   9.116  0.044   9.097  0.035    8.879  0.064   8.815  0.075   8.338  0.177   6.407  0.153   0.613  -      
ASAS-SN            J194440.88+245526.9   60.98393    0.36305     7717   203   52   18.2630322 F    8.234  0.077   8.142  0.080   8.040  0.073   7.854  0.069    8.164  0.056   8.176  0.057   7.613  0.056   6.334  0.164   0.677  -      
ATLAS              J295.7626+25.2236     61.05939    0.83252     6146   128  103    5.3631389 F    9.478  0.056   9.387  0.071   9.256  0.068   9.306  0.061    9.424  0.067   9.367  0.067   9.408  0.105   0.000  0.000   0.686  -      
GCVS               V415__Vul             61.09779   -0.12138     4848   108   85    4.8735836 1O   8.505  0.056   8.451  0.054   8.400  0.044   8.398  0.042    8.443  0.040   8.398  0.045   8.392  0.054   0.000  0.000   0.609  -      
GCVS               V414__Vul             61.22978    0.10823    10351   268  119    4.7842000 F   10.866  0.089  10.675  0.091  10.774  0.106  10.642  0.089   10.823  0.068  10.773  0.093   0.000  0.000   0.000  0.000   0.840  -      
ASAS-SN            J193235.01+264817.3   61.29026    3.65676       -1     0   90    3.3919595 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ATLAS              J297.7863+25.3136     62.05906   -0.70299     2146    42  115    2.9386780 1O   7.366  0.046   7.261  0.051   7.202  0.045   7.228  0.035    7.132  0.103   7.197  0.047   7.283  0.031   0.000  0.000   0.290  -      
GCVS               HO____Vul             62.17992   -2.68214     2136    72  100    5.6309204 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    6.776  0.160   6.804  0.081   6.836  0.053   6.658  0.190   0.257  -      
GCVS               GQ____Vul             62.28681    0.26262     4481   113   63   12.6569605 F    7.323  0.065   7.459  0.073   7.303  0.066   7.252  0.061    7.276  0.221   7.315  0.134   7.488  0.048   0.000  0.000   0.426  -      
ASAS-SN            J194638.36+263626.3   62.66131    0.82558     6100   199   55   16.2178696 F    7.919  0.069   7.865  0.058   7.797  0.055   7.771  0.045    7.590  0.061   7.662  0.116   7.558  0.044   0.000  0.000   0.559  -      
GCVS               V417__Vul             62.89541   -0.12220     5471   105   77    5.9475440 1O   8.593  0.044   8.573  0.051   8.478  0.038   8.512  0.039    8.695  0.051   8.620  0.064   8.613  0.082   0.000  0.000   0.903  -      
ATLAS              J295.3651+27.6424     62.98471    2.34043    13981   366  159    3.6219446 F   11.595  0.051  11.507  0.039   0.000  0.000   0.000  0.000   11.633  0.068  11.596  0.070   0.000  0.000   0.000  0.000   0.336  -      
GCVS               V416__Vul             63.30988    0.22432     7833   225  102    5.8326000 F   10.100  0.077  10.049  0.085   9.908  0.078   9.902  0.081    9.912  0.093   9.768  0.087   9.625  0.167   0.000  0.000   1.018  -      
GCVS               S_____Vul             63.44541    0.82982     3491   105   24   68.6510481 F    0.000  0.000   0.000  0.000   4.411  0.051   4.377  0.045    4.324  0.118   4.020  0.189   4.239  0.047   4.164  0.047   0.250  -      
ATLAS              J298.5070+26.9338     63.78188   -0.42773     4723   131   57   15.1772728 F    7.419  0.072   7.312  0.075   7.250  0.065   7.198  0.062    6.966  0.186   7.099  0.156   7.025  0.072   6.764  0.228   0.615  -      
GCVS               X_____Vul             63.85810   -1.28181     1054    33   95    6.3196496 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.094  0.086   4.903  0.194   5.111  0.053   4.976  0.075   0.199  -      
GCVS               AS____Vul             63.91740    1.27425     4195   101   64   12.2251810 F    7.257  0.051   7.202  0.049   0.000  0.000   0.000  0.000    7.159  0.132   7.316  0.060   7.249  0.039   6.946  0.255   0.311  -      
GCVS               SV____Vul             63.94697    0.32196     2226   110   31   44.8942247 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   3.289  0.622   3.881  0.077   3.851  0.081   0.166  -      
ATLAS              J297.2747+28.1332     64.25444    1.12436     8949   227  109    5.3741395 F   10.121  0.049  10.088  0.043   0.000  0.000   0.000  0.000   10.181  0.062  10.158  0.066  10.263  0.203   0.000  0.000   0.497  -      
Caron+2013         DaubanV18             64.35055    1.20456     8365   247   58   15.3825849 F    8.471  0.078   8.313  0.061   0.000  0.000   0.000  0.000    8.504  0.098   8.464  0.107   8.463  0.069   0.000  0.000   0.378  -      
ATLAS              J297.9134+27.9442     64.37869    0.54291     7986   177   90    7.3003699 F    9.508  0.065   9.466  0.071   9.416  0.065   9.355  0.062    9.367  0.052   9.344  0.055   9.311  0.101   0.000  0.000   0.466  -      
ATLAS              J297.2025+28.4100     64.46104    1.31940     8399   196  106    5.5830795 F    9.922  0.061   9.900  0.078   0.000  0.000   0.000  0.000    9.841  0.051   9.823  0.046   9.851  0.142   0.000  0.000   0.380  -      
ATLAS              J295.8701+29.2381     64.59249    2.74449    14247   370  148    4.1586562 F   11.387  0.056  11.344  0.052   0.000  0.000   0.000  0.000   11.242  0.076  11.285  0.086   0.000  0.000   0.000  0.000   0.164  -      
GCVS               SU____Cyg             64.76022    2.50580      832    25  127    3.8455396 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.247  0.084   5.087  0.097   5.219  0.041   5.159  0.069   0.060  -      
GCVS               DG____Vul             64.95818   -0.91944     2736    83   61   13.6080397 F    0.000  0.000   0.000  0.000   6.080  0.053   6.031  0.053    6.212  0.126   5.966  0.222   6.246  0.087   6.095  0.159   0.309  -      
ATLAS              J299.1326+28.8497     65.70741    0.09062     8589   259   96    6.6940937 F    9.812  0.064   9.719  0.058   0.000  0.000   0.000  0.000    9.913  0.076   9.837  0.075  10.030  0.169   0.000  0.000   0.656  -      
ATLAS              J299.4340+28.7335     65.74576   -0.19545     5562   131  101    5.6329853 F    9.088  0.058   9.087  0.061   0.000  0.000   0.000  0.000    9.086  0.091   9.049  0.107   9.129  0.088   0.000  0.000   0.608  -      
ATLAS              J299.6711+28.6617     65.79329   -0.41030     5477   152   74    9.8410377 F    8.325  0.060   8.208  0.054   0.000  0.000   0.000  0.000    8.164  0.078   8.115  0.108   8.104  0.074   0.000  0.000   0.498  -      
ASAS-SN            J195413.18+292039.1   65.86917    0.77843     3838    88   95    6.2386320 F    8.105  0.063   7.982  0.052   0.000  0.000   0.000  0.000    8.032  0.076   8.001  0.066   8.078  0.061   0.000  0.000   0.428  -      
ATLAS              J298.2928+29.8739     66.20626    1.24639     6840   155  110    5.0780919 F    9.604  0.046   9.565  0.057   0.000  0.000   0.000  0.000    9.561  0.059   9.545  0.074   9.701  0.128   0.000  0.000   0.398  -      
ATLAS              J300.0102+29.1869     66.39613   -0.38731     2818    77   51   18.3154276 F    0.000  0.000   5.807  0.061   0.000  0.000   0.000  0.000    5.923  0.125   5.689  0.099   5.771  0.051   5.634  0.092   0.299  -      
GCVS               GH____Cyg             66.52203   -0.08897     2233    49   84    7.8163294 F    6.470  0.055   6.490  0.056   0.000  0.000   0.000  0.000    6.369  0.095   6.360  0.063   6.394  0.043   6.375  0.154   0.211  -      
GCVS               EP____Cyg             66.58085    3.48851     5843   203  119    4.2885286 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.357  0.061   9.337  0.072   9.267  0.090   0.000  0.000   0.153  -      
ATLAS              J299.4098+29.7576     66.60845    0.35699     6261   153  133    3.5716671 F    9.963  0.060   9.913  0.058   0.000  0.000   0.000  0.000    9.970  0.061   9.940  0.057   9.956  0.195   0.000  0.000   0.505  -      
ASAS-SN            J195424.41+301406.3   66.65355    1.20296     7079   169   79    8.9885774 F    8.901  0.048   8.781  0.052   0.000  0.000   0.000  0.000    8.833  0.069   8.782  0.071   8.934  0.087   0.000  0.000   0.414  -      
GCVS               V924__Cyg             66.87625    5.32712     5949   168   81    5.5711206 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.446  0.045   8.429  0.044   8.413  0.048   0.000  0.000   0.084  -      
ATLAS              J298.9694+30.4914     67.03713    1.06395     6764   175  113    4.8029602 F    9.717  0.063   0.000  0.000   0.000  0.000   0.000  0.000    9.687  0.051   9.653  0.053   9.707  0.153   0.000  0.000   0.515  -      
GCVS               EZ____Cyg             67.06209    0.58942     4097    94   66   11.6619041 F    7.197  0.054   7.171  0.045   0.000  0.000   0.000  0.000    7.178  0.085   7.293  0.087   7.145  0.078   6.861  0.249   0.181  -      
GCVS               V2232_Cyg             67.35935   -0.04080     6860   187   90    7.1395000 F    9.220  0.080   9.110  0.079   0.000  0.000   0.000  0.000    9.236  0.066   9.147  0.075   9.342  0.106   0.000  0.000   0.566  -      
GCVS               EX____Cyg             67.50185    1.71742     3980   114  110    4.8510782 F    8.401  0.047   8.437  0.046   0.000  0.000   0.000  0.000    8.441  0.110   8.419  0.120   8.221  0.066   0.000  0.000   0.244  -      
GCVS               V1025_Cyg             67.94209    0.38460     4712   120   90    6.9626857 F    8.290  0.036   8.272  0.032   0.000  0.000   0.000  0.000    8.383  0.045   8.353  0.062   8.538  0.074   0.000  0.000   0.388  -      
GCVS               IY____Cyg             68.09115    1.78040     7234   267   48   21.7644197 F    7.507  0.065   7.515  0.066   0.000  0.000   0.000  0.000    7.719  0.213   7.684  0.179   7.749  0.083   7.086  0.270   0.302  -      
ATLAS              J300.8084+30.7858     68.11875   -0.12794     7460   303   55   16.8516500 F    8.365  0.064   8.286  0.070   0.000  0.000   0.000  0.000    8.049  0.064   8.086  0.079   8.007  0.068   0.000  0.000   0.629  -      
GCVS               EU____Cyg             68.41014    3.02425    12821   579   65   15.0032107 F    9.201  0.070   0.000  0.000   0.000  0.000   0.000  0.000    9.411  0.122   9.368  0.119   9.470  0.158   0.000  0.000   0.231  -      
ATLAS              J300.3673+31.6179     68.62379    0.63320     8391   257   33   40.9873189 F    7.352  0.053   7.213  0.042   0.000  0.000   0.000  0.000    7.148  0.053   7.233  0.039   7.104  0.035   0.000  0.000   0.708  -      
ATLAS              J300.5755+31.8564     68.92006    0.60933     7219   171   74   10.3484874 F    8.800  0.052   8.796  0.051   0.000  0.000   0.000  0.000    8.808  0.080   8.757  0.078   8.899  0.074   0.000  0.000   0.616  -      
ATLAS              J302.0444+31.1420     68.98824   -0.83086    10335   350   69   12.5165782 F    9.353  0.081   9.255  0.081   0.000  0.000   0.000  0.000    9.511  0.128   9.423  0.128   9.452  0.135   0.000  0.000   0.743  -      
GCVS               V1020_Cyg             69.28192    1.61772     3767    76  109    4.9204479 F    8.330  0.048   8.234  0.049   0.000  0.000   0.000  0.000    8.289  0.036   8.254  0.040   8.313  0.051   0.000  0.000   0.329  -      
